ID,Time,Remarks,Geometry,Latitude,Longitude,X,Y,Elevation,Ortho Height,Instrument Ht,Fix ID,Speed,Bearing,Horizontal Accuracy,Vertical Accuracy,PDOP,HDOP,VDOP,Satellites in View,Satellites in Use
1,07/09/2024 13:12:08.000 GMT+03:00,,"POINT Z (32,71745582 37,28205701 1137,172)","37,282057008","32,717455817","474953,467","4126200,025","1137,172","0,000","0,000",4,"0,007","0,0","0,010","0,030","2,49","1,10","2,24",26,19
2,07/09/2024 13:17:37.000 GMT+03:00,P1,"POINT Z (32,71745559 37,28205664 1136,989)","37,282056638","32,717455590","474953,447","4126199,984","1136,989","0,000","0,000",4,"0,003","0,0","0,010","0,018","1,67","0,90","1,41",25,19
3,07/09/2024 13:19:50.000 GMT+03:00,Pol 1 ,"POINT Z (32,71745639 37,28205653 1137,100)","37,282056533","32,717456388","474953,517","4126199,973","1137,100","0,000","0,000",4,"0,012","0,0","0,010","0,017","1,67","0,90","1,41",25,19
4,07/09/2024 13:20:31.000 GMT+03:00,A2,"POINT Z (32,71735405 37,28205847 1137,059)","37,282058475","32,717354047","474944,446","4126200,215","1137,059","0,000","0,000",4,"0,011","0,0","0,012","0,023","1,68","0,90","1,42",25,19
5,07/09/2024 13:21:27.000 GMT+03:00,A1,"POINT Z (32,71735190 37,28193971 1137,420)","37,281939710","32,717351905","474944,217","4126187,040","1137,420","0,000","0,000",4,"0,011","0,0","0,010","0,022","1,68","0,90","1,42",23,18
6,07/09/2024 13:21:47.000 GMT+03:00,A1,"POINT Z (32,71735217 37,28193932 1137,393)","37,281939324","32,717352166","474944,240","4126186,997","1137,393","0,000","0,000",4,"0,011","0,0","0,010","0,021","1,68","0,90","1,42",23,18
7,07/09/2024 13:23:00.000 GMT+03:00,A3,"POINT Z (32,71753816 37,28201878 1136,985)","37,282018783","32,717538161","474960,754","4126195,763","1136,985","0,000","0,000",4,"0,010","0,0","0,010","0,018","1,68","0,90","1,42",24,19
8,07/09/2024 13:24:03.000 GMT+03:00,,"POINT Z (32,71760636 37,28206551 1136,826)","37,282065512","32,717606365","474966,815","4126200,929","1136,826","0,000","0,000",4,"0,011","0,0","0,010","0,017","1,68","0,90","1,42",24,19
9,07/09/2024 13:24:36.000 GMT+03:00,,"POINT Z (32,71762921 37,28211689 1136,691)","37,282116893","32,717629215","474968,858","4126206,623","1136,691","0,000","0,000",4,"0,009","0,0","0,010","0,017","1,68","0,90","1,42",25,19
10,07/09/2024 13:25:10.000 GMT+03:00,,"POINT Z (32,71767636 37,28219535 1136,557)","37,282195352","32,717676356","474973,063","4126215,315","1136,557","0,000","0,000",4,"0,011","0,0","0,010","0,021","1,68","0,90","1,42",25,19
11,07/09/2024 13:25:47.000 GMT+03:00,,"POINT Z (32,71771925 37,28211739 1136,695)","37,282117392","32,717719247","474976,839","4126206,655","1136,695","0,000","0,000",4,"0,011","0,0","0,010","0,017","1,68","0,90","1,42",25,19
12,07/09/2024 13:26:35.000 GMT+03:00,,"POINT Z (32,71776119 37,28206445 1136,776)","37,282064449","32,717761186","474980,539","4126200,770","1136,776","0,000","0,000",4,"0,013","0,0","0,010","0,017","1,68","0,90","1,42",25,19
13,07/09/2024 13:27:15.000 GMT+03:00,,"POINT Z (32,71766821 37,28197001 1137,233)","37,281970014","32,717668214","474972,266","4126190,318","1137,233","0,000","0,000",4,"0,012","0,0","0,014","0,026","1,68","0,90","1,42",23,19
14,07/09/2024 13:27:56.000 GMT+03:00,,"POINT Z (32,71780730 37,28197841 1136,989)","37,281978408","32,717807300","474984,599","4126191,213","1136,989","0,000","0,000",4,"0,011","0,0","0,013","0,025","1,95","1,07","1,64",25,18
15,07/09/2024 13:28:31.000 GMT+03:00,,"POINT Z (32,71794237 37,28194558 1136,696)","37,281945584","32,717942375","474996,562","4126187,535","1136,696","0,000","0,000",4,"0,013","0,0","0,011","0,026","1,69","0,90","1,42",24,19
16,07/09/2024 13:29:02.000 GMT+03:00,,"POINT Z (32,71786437 37,28187999 1137,031)","37,281879987","32,717864368","474989,625","4126180,279","1137,031","0,000","0,000",4,"0,010","0,0","0,010","0,026","2,24","0,96","2,02",24,19
17,07/09/2024 13:29:35.000 GMT+03:00,,"POINT Z (32,71799165 37,28185692 1136,654)","37,281856923","32,717991649","475000,901","4126177,686","1136,654","0,000","0,000",4,"0,015","0,0","0,010","0,022","2,24","0,96","2,02",23,18
18,07/09/2024 13:30:09.000 GMT+03:00,,"POINT Z (32,71788783 37,28180163 1137,009)","37,281801627","32,717887830","474991,679","4126171,579","1137,009","0,000","0,000",4,"0,017","0,0","0,017","0,022","2,24","0,96","2,02",23,18
19,07/09/2024 13:30:42.000 GMT+03:00,,"POINT Z (32,71793559 37,28174114 1137,101)","37,281741141","32,717935589","474995,893","4126164,857","1137,101","0,000","0,000",4,"0,010","0,0","0,010","0,026","2,53","1,09","2,28",22,17
20,07/09/2024 13:31:24.000 GMT+03:00,,"POINT Z (32,71797009 37,28164875 1137,182)","37,281648750","32,717970086","474998,920","4126154,598","1137,182","0,000","0,000",4,"0,012","0,0","0,010","0,021","2,23","0,95","2,02",24,19
21,07/09/2024 13:32:07.000 GMT+03:00,,"POINT Z (32,71804787 37,28153956 1137,248)","37,281539564","32,718047872","475005,780","4126142,464","1137,248","0,000","0,000",4,"0,010","0,0","0,012","0,026","2,23","0,95","2,02",23,19
22,07/09/2024 13:32:51.000 GMT+03:00,,"POINT Z (32,71791133 37,28159602 1137,384)","37,281596023","32,717911333","474993,694","4126148,764","1137,384","0,000","0,000",4,"0,011","0,0","0,012","0,026","2,23","0,95","2,01",23,18
23,07/09/2024 13:35:12.000 GMT+03:00,,"POINT Z (32,71779985 37,28159874 1137,723)","37,281598739","32,717799850","474983,813","4126149,095","1137,723","0,000","0,000",4,"0,009","0,0","0,010","0,021","1,99","0,91","1,77",23,18
